"id","price"
1,6960
2,6945
3,7180
4,7160
5,7290
6,7255
7,7320
8,7525
9,7750
10,7650
11,7525
12,7500
13,7400
14,7525
15,7525
16,7525
17,7450
18,7375
19,7475
20,7400
21,7300
22,7350
23,7375
24,7450
25,7575
26,7675
27,7650
28,7675
29,7525
30,7500
31,7475
32,7575
33,7400
34,7425
35,7475
36,7475
37,7475
38,7425
39,7275
40,7400
41,7275
42,7300
43,7500
44,7375
45,7350
46,7350
47,7425
48,7350
49,7375
50,7300
51,7300
52,7300
53,7275
54,7500
55,7375
56,7375
57,7325
58,7300
59,7300
60,7350
61,7350
62,7300
63,7300
64,7325
65,7400
66,7450
67,7475
68,7650
69,7600
70,7700
71,7700
72,7700
73,7850
74,7750
75,7675
76,7675
77,7775
78,7950
79,7800
80,7775
81,7700
82,7800
83,7775
84,7625
85,7800
86,7725
87,7725
88,7800
89,7725
90,7950
91,7750
92,7825
93,7700
94,7875
95,7975
96,7900
97,7925
98,7950
99,7900
100,8050
101,8000
102,8050
103,8050
104,7975
105,7900
106,7700
107,7650
108,7850
109,7925
110,7950
111,8075
112,8150
113,8200
114,8000
115,7900
116,7900
117,7925
118,7900
119,7925
120,7950
121,7900
122,7850
123,7875
124,7975
125,7925
126,7900
127,7900
128,7750
129,7750
130,7850
131,7725
132,7800
133,7800
134,7700
135,7700
136,7625
137,7650
138,7925
139,7875
140,8000
141,8125
142,8200
143,8125
144,7600
145,7525
146,7650
147,7275
148,7325
149,7400
150,7575
151,7450
152,7400
153,7375
154,7350
155,7375
156,7575
157,7575
158,7750
159,7575
160,7600
161,7450
162,7375
163,7600
164,7500
165,7350
166,7350
167,7400
168,7325
169,7575
170,7500
171,7625
172,7650
173,7500
174,7525
175,7475
176,7350
177,7300
178,7275
179,7250
180,7250
181,7050
182,7250
183,7300
184,7100
185,7150
186,7125
187,7175
188,7000
189,7025
190,7000
191,7150
192,7175
193,7400
194,7400
195,7325
196,7300
197,7300
198,7325
199,7350
200,7350
201,7500
202,7600
203,7625
204,7800
205,7875
206,7875
207,7900
208,7900
209,7950
210,7925
211,7950
212,7975
213,8000
214,7900
215,8000
216,7900
217,7950
218,8075
219,8000
220,8150
221,8175
222,8200
223,8150
224,8225
225,8275
226,8275
227,8375
228,8350
229,8375
230,8375
231,8525
232,8500
233,8750
234,8450
235,8650
236,8550
237,8475
238,8475
239,8375
240,8425
241,8300
242,8325
243,8375
244,8550
